City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Buala,SB,2021-07-24 15:42:55,-8.145,159.5921,79.86,81,47,5.46
251,Ribeira Grande,PT,2021-07-24 15:41:38,38.5167,-28.7,77.4,73,40,13.8
252,Eseka,CM,2021-07-24 15:42:56,3.65,10.7667,73.96,96,86,3.94
253,Itarema,BR,2021-07-24 15:42:56,-2.9248,-39.9167,88.92,44,51,16.49
254,Camacha,PT,2021-07-24 15:42:56,33.0833,-16.3333,75.96,64,20,16.11
255,Petropavl,KZ,2021-07-24 15:42:57,54.8753,69.1628,75.0,52,100,11.77
256,Nuevo Progreso,MX,2021-07-24 15:42:57,23.1667,-97.95,86.9,68,2,1.01
257,Constitucion,CL,2021-07-24 15:41:37,-35.3333,-72.4167,53.17,83,99,12.37
258,Longyearbyen,SJ,2021-07-24 15:40:29,78.2186,15.6401,46.24,76,75,6.91
259,Batemans Bay,AU,2021-07-24 15:42:58,-35.7167,150.1833,48.2,69,75,4.79
260,La Ronge,CA,2021-07-24 15:42:59,55.1001,-105.2842,64.65,72,40,10.36
261,Quthing,LS,2021-07-24 15:42:59,-30.4,27.7003,40.28,29,0,1.21
262,Puspokladany,HU,2021-07-24 15:42:59,47.3167,21.1167,86.56,24,60,5.95
263,Chimoio,MZ,2021-07-24 15:43:00,-19.1164,33.4833,62.46,42,40,14.97
264,Florianopolis,BR,2021-07-24 15:43:00,-27.6146,-48.5012,78.4,65,0,4.0
265,San Juan Bautista,PE,2021-07-24 15:43:00,-14.0108,-75.7358,60.17,37,1,8.81
266,Juegang,CN,2021-07-24 15:43:01,32.3174,121.1855,79.36,86,100,21.36
267,Sargur,IN,2021-07-24 15:43:01,11.9833,76.4167,70.16,92,93,9.37
268,Santiago,CL,2021-07-24 15:42:08,-33.4569,-70.6483,52.29,79,90,4.61
269,Atar,MR,2021-07-24 15:43:02,20.5169,-13.0499,105.66,15,73,6.58
270,Olinda,BR,2021-07-24 15:43:03,-8.0089,-34.8553,80.33,54,20,19.57
271,Clyde River,CA,2021-07-24 15:39:02,70.4692,-68.5914,35.83,93,90,12.66
272,Georgetown,MY,2021-07-24 15:34:37,5.4112,100.3354,85.89,79,20,1.01
273,Kruisfontein,ZA,2021-07-24 15:43:03,-34.0033,24.7314,55.89,45,1,7.38
274,Marzuq,YE,2021-07-24 15:43:04,14.4,46.4667,75.6,73,98,8.14
275,Bukama,CD,2021-07-24 15:43:04,-9.2,25.85,84.85,25,2,4.97
276,Murgab,TM,2021-07-24 15:43:04,37.4966,61.9714,103.87,18,0,6.91
277,Geraldton,AU,2021-07-24 15:39:55,-28.7667,114.6,55.81,88,90,5.75
278,Saint-Leu,RE,2021-07-24 15:43:05,-21.15,55.2833,70.63,74,20,8.08
279,Atuona,PF,2021-07-24 15:40:37,-9.8,-139.0333,77.88,68,99,15.79
280,Praya,CV,2021-07-24 15:43:06,14.9215,-23.5087,84.74,48,40,13.8
281,Porangatu,BR,2021-07-24 15:43:06,-13.4408,-49.1486,89.19,24,15,7.02
282,Tahta,EG,2021-07-24 15:40:41,26.7693,31.5021,102.31,15,0,16.02
283,Cravinhos,BR,2021-07-24 15:43:07,-21.3403,-47.7294,72.32,20,0,6.73
284,Lufilufi,WS,2021-07-24 15:43:08,-13.8745,-171.5986,76.78,82,27,16.82
285,Benguela,AO,2021-07-24 15:43:08,-12.5763,13.4055,73.81,71,10,7.94
286,Severnyy,RU,2021-07-24 15:43:08,50.677,36.5532,78.84,44,0,8.95
287,Karratha,AU,2021-07-24 15:40:31,-20.7377,116.8463,71.4,57,12,5.55
288,Laguna,US,2021-07-24 15:43:09,38.421,-121.4238,84.24,61,1,4.0
289,Inuvik,CA,2021-07-24 15:43:09,68.3499,-133.7218,61.81,66,75,6.91
290,Chunoyar,RU,2021-07-24 15:43:10,57.4467,97.3217,65.75,67,52,3.69
291,Toora-Khem,RU,2021-07-24 15:43:10,52.4675,96.11,60.57,96,100,1.54
292,Severo-Kurilsk,RU,2021-07-24 15:43:10,50.6789,156.125,53.94,96,85,2.73
293,Soe,ID,2021-07-24 15:43:11,-9.8607,124.284,61.21,48,81,4.36
